bowler,format,innings_bowled,balls,runs_given,wickets,dot_balls,wides,noballs,overs,economy,average,dot_pct,strike_rate,five_wkts,four_wkts,best_wkts,best_bowling,matches
Ayaz Dadabhai,T20I,14,276,271.0,22,123,14,0,46.0,5.89,12.32,44.57,12.55,0.0,0.0,3.0,3/16.0,15
SC Williams,Test,14,1969,1017.0,22,1320,3,3,328.2,3.1,46.23,67.04,89.5,1.0,1.0,6.0,6/111.0,20
DK Shetty,T20I,20,316,342.0,22,170,29,1,52.7,6.49,15.55,53.8,14.36,0.0,0.0,3.0,3/5.0,20
S Venkataraman,T20I,11,233,159.0,22,147,12,0,38.8,4.09,7.23,63.09,10.59,0.0,0.0,3.0,3/2.0,13
Renuka Singh,WPL,32,592,817.0,22,281,40,0,98.7,8.28,37.14,47.47,26.91,0.0,0.0,3.0,3/20.0,32
AJ Nair,BBL,30,462,591.0,22,132,6,0,77.0,7.68,26.86,28.57,21.0,0.0,0.0,3.0,3/12.0,35
DAL Paramitha,T20I,24,442,323.0,22,281,31,7,73.7,4.38,14.68,63.57,20.09,0.0,0.0,3.0,3/14.0,25
DAJ Bracewell,T20I,18,312,470.0,22,124,9,2,52.0,9.04,21.36,39.74,14.18,1.0,0.0,5.0,5/25.0,20
S Asha,WPL,23,366,494.0,22,133,8,0,61.0,8.1,22.45,36.34,16.64,1.0,0.0,5.0,5/22.0,23
KMA Paul,T20I,21,431,646.0,22,145,20,11,71.8,8.99,29.36,33.64,19.59,1.0,0.0,5.0,5/15.0,21
Zeefa Jilani,T20I,23,363,321.0,22,177,18,2,60.5,5.31,14.59,48.76,16.5,0.0,1.0,4.0,4/13.0,50
S Laomi,ODI,14,564,392.0,22,331,11,0,94.0,4.17,17.82,58.69,25.64,0.0,1.0,4.0,4/26.0,15
Asif Afridi,PSL,21,412,511.0,22,169,4,1,68.7,7.44,23.23,41.02,18.73,0.0,0.0,3.0,3/19.0,22
T Murphy,BBL,29,414,465.0,22,145,1,0,69.0,6.74,21.14,35.02,18.82,0.0,1.0,4.0,4/35.0,30
J Ramanandi,T20I,14,244,328.0,22,63,9,0,40.7,8.07,14.91,25.82,11.09,0.0,1.0,4.0,4/32.0,15
VY Mahesh,IPL,17,346,499.0,22,127,13,7,57.7,8.65,22.68,36.71,15.73,1.0,0.0,5.0,5/36.0,17
Salma Khatun,ODI,22,934,609.0,22,580,13,0,155.7,3.91,27.68,62.1,42.45,0.0,0.0,3.0,3/15.0,23
EL Bartram,T20I,27,410,441.0,22,217,52,1,68.3,6.45,20.05,52.93,18.64,0.0,1.0,4.0,4/19.0,33
Mohammad Ali,Test,8,1403,851.0,22,999,4,22,233.8,3.64,38.68,71.2,63.77,2.0,1.0,6.0,6/101.0,8
N Deonarine,Test,12,1288,651.0,22,877,1,0,214.7,3.03,29.59,68.09,58.55,1.0,1.0,6.0,6/80.0,15
Abdul Samad,T20I,18,330,229.0,22,216,3,0,55.0,4.16,10.41,65.45,15.0,0.0,0.0,3.0,3/12.0,23
N Burger,ODI,12,564,575.0,22,329,32,1,94.0,6.12,26.14,58.33,25.64,0.0,2.0,4.0,4/42.0,12
J Bulele,T20I,17,357,425.0,22,158,10,1,59.5,7.14,19.32,44.26,16.23,0.0,1.0,4.0,4/11.0,19
MR Gillespie,Test,4,754,529.0,22,518,2,13,125.7,4.21,24.05,68.7,34.27,4.0,0.0,6.0,6/142.0,4
T Perera,T20I,19,320,449.0,22,135,20,8,53.3,8.42,20.41,42.19,14.55,0.0,1.0,4.0,4/13.0,34
Shafiul Islam,T20I,19,376,508.0,22,145,14,0,62.7,8.11,23.09,38.56,17.09,0.0,0.0,3.0,3/20.0,19
O Thomas,T20I,20,419,638.0,22,170,21,11,69.8,9.14,29.0,40.57,19.05,1.0,0.0,5.0,5/21.0,21
JP Duminy,T20I,41,465,599.0,22,149,11,2,77.5,7.73,27.23,32.04,21.14,0.0,0.0,3.0,3/18.0,79
MG Neser,Test,5,779,416.0,22,576,1,1,129.8,3.2,18.91,73.94,35.41,3.0,1.0,6.0,6/84.0,5
AS Joseph,IPL,22,435,691.0,22,172,19,1,72.5,9.53,31.41,39.54,19.77,1.0,0.0,6.0,6/10.0,22
P Cuinica,T20I,22,449,410.0,22,276,75,1,74.8,5.48,18.64,61.47,20.41,0.0,0.0,3.0,3/3.0,26
CO Obuya,T20I,20,308,334.0,22,139,18,0,51.3,6.51,15.18,45.13,14.0,0.0,1.0,4.0,4/24.0,56
B Muzarabani,PSL,15,329,426.0,22,140,9,1,54.8,7.77,19.36,42.55,14.95,0.0,0.0,3.0,3/17.0,15
Imran Ameer,T20I,22,437,503.0,22,187,9,0,72.8,6.91,22.86,42.79,19.86,0.0,1.0,4.0,4/16.0,24
Naseem Shah,CPL,19,404,554.0,22,164,13,1,67.3,8.23,25.18,40.59,18.36,0.0,0.0,3.0,3/33.0,19
MD Shanaka,ODI,40,916,839.0,22,432,22,1,152.7,5.5,38.14,47.16,41.64,0.0,0.0,3.0,3/25.0,62
I Udana,ODI,20,874,922.0,22,392,34,1,145.7,6.33,41.91,44.85,39.73,0.0,1.0,4.0,4/56.0,20
Hussain Talat,PSL,30,381,585.0,22,110,16,4,63.5,9.21,26.59,28.87,17.32,0.0,0.0,3.0,3/18.0,70
JP Behrendorff,IPL,17,366,552.0,22,146,13,0,61.0,9.05,25.09,39.89,16.64,0.0,1.0,4.0,4/23.0,17
JOA Gordon,T20I,16,329,407.0,22,167,32,3,54.8,7.42,18.5,50.76,14.95,0.0,1.0,4.0,4/13.0,17
Ezgi Nur Kilic,T20I,15,286,238.0,22,182,34,4,47.7,4.99,10.82,63.64,13.0,0.0,0.0,3.0,3/5.0,15
SL Quintyne,T20I,20,404,370.0,22,166,9,2,67.3,5.5,16.82,41.09,18.36,0.0,0.0,3.0,3/5.0,21
WW Hinds,ODI,19,613,506.0,22,293,13,3,102.2,4.95,23.0,47.8,27.86,0.0,1.0,4.0,4/24.0,42
Noor Ahmad,CPL,12,283,291.0,22,151,8,1,47.2,6.17,13.23,53.36,12.86,0.0,0.0,3.0,3/18.0,12
Kamal Soukhiya,T20I,12,282,368.0,22,131,38,0,47.0,7.83,16.73,46.45,12.82,1.0,1.0,5.0,5/23.0,12
J Theron,CPL,19,418,571.0,22,135,18,2,69.7,8.2,25.95,32.3,19.0,0.0,1.0,4.0,4/33.0,19
Fayaz Khan,T20I,19,301,379.0,21,127,12,1,50.2,7.55,18.05,42.19,14.33,1.0,0.0,5.0,5/17.0,29
AJ Hosein,BBL,15,348,394.0,21,140,3,0,58.0,6.79,18.76,40.23,16.57,0.0,0.0,3.0,3/15.0,15
Shoaib Rafiq,T20I,17,320,253.0,21,199,15,1,53.3,4.74,12.05,62.19,15.24,1.0,0.0,5.0,5/10.0,17
Zaheer Zahiri,T20I,17,355,416.0,21,174,29,1,59.2,7.03,19.81,49.01,16.9,0.0,0.0,3.0,3/23.0,17
Asif Shaikh,T20I,16,345,366.0,21,147,4,1,57.5,6.37,17.43,42.61,16.43,0.0,1.0,4.0,4/26.0,18
Zuhaib Zubair,T20I,19,321,402.0,21,124,5,3,53.5,7.51,19.14,38.63,15.29,1.0,0.0,6.0,6/19.0,20
DA Blignaut,T20I,19,247,317.0,21,100,21,1,41.2,7.7,15.1,40.49,11.76,0.0,1.0,4.0,4/17.0,27
ZGF Foulkes,Test,6,1081,538.0,21,834,4,4,180.2,2.99,25.62,77.15,51.48,2.0,0.0,9.0,9/74.0,6
ZGF Foulkes,T20I,18,369,569.0,21,148,34,6,61.5,9.25,27.1,40.11,17.57,0.0,0.0,3.0,3/19.0,19
GT Main,T20I,14,248,342.0,21,110,15,6,41.3,8.27,16.29,44.35,11.81,1.0,0.0,5.0,5/26.0,14
M Hundal,T20I,15,261,242.0,21,121,3,7,43.5,5.56,11.52,46.36,12.43,0.0,0.0,3.0,3/14.0,16
PP Ojha,ODI,17,876,652.0,21,465,6,0,146.0,4.47,31.05,53.08,41.71,0.0,1.0,4.0,4/38.0,18
R Ngarava,Test,10,1440,855.0,21,1032,5,23,240.0,3.56,40.71,71.67,68.57,2.0,1.0,6.0,6/120.0,10
FC Jonas,ODI,25,1112,851.0,21,610,32,2,185.3,4.59,40.52,54.86,52.95,0.0,0.0,3.0,3/32.0,26
Anureet Singh,IPL,22,419,623.0,21,152,11,7,69.8,8.92,29.67,36.28,19.95,0.0,0.0,3.0,3/23.0,23
R Padunglerd,T20I,26,355,343.0,21,183,14,7,59.2,5.8,16.33,51.55,16.9,0.0,2.0,4.0,4/3.0,30
AM Phangiso,T20I,16,342,443.0,21,129,6,0,57.0,7.77,21.1,37.72,16.29,0.0,0.0,3.0,3/25.0,16
TT Bresnan,BBL,13,285,406.0,21,91,6,1,47.5,8.55,19.33,31.93,13.57,0.0,1.0,4.0,4/18.0,13
LL Dimba,T20I,22,432,355.0,21,220,14,1,72.0,4.93,16.9,50.93,20.57,0.0,0.0,3.0,3/16.0,25
L Ostergaard,T20I,18,348,308.0,21,174,26,5,58.0,5.31,14.67,50.0,16.57,0.0,0.0,3.0,3/6.0,19
RMAM Avery,T20I,18,205,173.0,21,111,19,0,34.2,5.06,8.24,54.15,9.76,0.0,1.0,4.0,4/14.0,37
ROC Dunka,T20I,24,436,580.0,21,194,32,4,72.7,7.98,27.62,44.5,20.76,0.0,0.0,3.0,3/18.0,24
RP Meredith,IPL,18,390,612.0,21,156,25,2,65.0,9.42,29.14,40.0,18.57,0.0,0.0,3.0,3/22.0,18
GK Berg,T20I,15,295,319.0,21,149,6,1,49.2,6.49,15.19,50.51,14.05,0.0,1.0,4.0,4/12.0,18
AC McDermott,BBL,14,276,391.0,21,109,10,3,46.0,8.5,18.62,39.49,13.14,1.0,0.0,5.0,5/18.0,14
LK Bell,Test,6,900,511.0,21,677,4,0,150.0,3.41,24.33,75.22,42.86,1.0,0.0,8.0,8/76.0,6
AC Thomas,BBL,20,426,483.0,21,174,16,2,71.0,6.8,23.0,40.85,20.29,0.0,2.0,4.0,4/8.0,20
H Bharadwaj,T20I,15,327,319.0,21,152,16,0,54.5,5.85,15.19,46.48,15.57,1.0,1.0,6.0,6/1.0,15
M Yunusu Issa,T20I,22,326,388.0,21,155,11,2,54.3,7.14,18.48,47.55,15.52,0.0,0.0,3.0,3/24.0,34
C Dickson,T20I,20,389,410.0,21,177,4,4,64.8,6.32,19.52,45.5,18.52,0.0,0.0,3.0,3/21.0,22
M Yanagida,T20I,21,357,275.0,21,178,17,18,59.5,4.62,13.1,49.86,17.0,0.0,1.0,4.0,4/7.0,45
Aliya Riaz,T20I,28,417,562.0,21,165,26,1,69.5,8.09,26.76,39.57,19.86,0.0,0.0,3.0,3/25.0,106
DR Gibson,T20I,31,477,599.0,21,189,17,3,79.5,7.53,28.52,39.62,22.71,0.0,0.0,3.0,3/13.0,35
Thuya Aung,T20I,20,358,359.0,21,172,11,0,59.7,6.02,17.1,48.04,17.05,0.0,0.0,3.0,3/7.0,30
BM Tickner,T20I,18,345,536.0,21,119,15,4,57.5,9.32,25.52,34.49,16.43,0.0,1.0,4.0,4/27.0,18
AB Kaur,ODI,17,664,683.0,21,349,30,0,110.7,6.17,32.52,52.56,31.62,0.0,1.0,4.0,4/22.0,17
F Stoman,T20I,17,356,386.0,21,177,24,2,59.3,6.51,18.38,49.72,16.95,0.0,0.0,3.0,3/5.0,24
Amir Farooq,T20I,18,368,487.0,21,156,15,9,61.3,7.94,23.19,42.39,17.52,1.0,0.0,5.0,5/32.0,18
Tanzim Hasan Sakib,ODI,13,599,589.0,21,320,21,0,99.8,5.9,28.05,53.42,28.52,0.0,1.0,4.0,4/45.0,13
SI Kamea,T20I,18,386,463.0,21,181,20,12,64.3,7.2,22.05,46.89,18.38,0.0,0.0,3.0,3/28.0,18
Taranjit Singh,T20I,15,292,360.0,21,123,29,1,48.7,7.4,17.14,42.12,13.9,0.0,0.0,3.0,3/13.0,18
B Biza,T20I,20,331,372.0,21,126,8,0,55.2,6.74,17.71,38.07,15.76,0.0,0.0,3.0,3/8.0,28
Waji Ul Hassan,T20I,24,367,466.0,21,135,10,1,61.2,7.62,22.19,36.78,17.48,1.0,0.0,6.0,6/9.0,34
T Hinds,CPL,18,338,584.0,21,111,37,1,56.3,10.37,27.81,32.84,16.1,0.0,0.0,3.0,3/17.0,19
AS Joseph,PSL,17,385,590.0,21,163,14,4,64.2,9.19,28.1,42.34,18.33,0.0,0.0,3.0,3/15.0,17
Shadab Khan,BBL,17,366,486.0,21,113,7,0,61.0,7.97,23.14,30.87,17.43,0.0,1.0,4.0,4/24.0,17
DT Christian,ODI,19,727,595.0,21,345,12,0,121.2,4.91,28.33,47.46,34.62,1.0,0.0,5.0,5/31.0,19
D Johnson,T20I,24,402,537.0,21,150,21,1,67.0,8.01,25.57,37.31,19.14,0.0,0.0,3.0,3/20.0,28
Umm-e-Hani,ODI,17,905,705.0,21,469,16,0,150.8,4.67,33.57,51.82,43.1,0.0,0.0,3.0,3/16.0,18
XSD Smith,T20I,14,289,230.0,21,154,5,1,48.2,4.78,10.95,53.29,13.76,1.0,0.0,5.0,5/17.0,14
MC Sorensen,T20I,16,274,335.0,21,122,7,4,45.7,7.34,15.95,44.53,13.05,0.0,0.0,3.0,3/15.0,19
Shafali Verma,T20I,28,332,363.0,21,128,14,0,55.3,6.56,17.29,38.55,15.81,0.0,1.0,4.0,4/13.0,112
Wang Huiying,T20I,25,446,382.0,21,228,27,1,74.3,5.14,18.19,51.12,21.24,0.0,0.0,2.0,2/8.0,26
ML Castillo,T20I,12,240,229.0,21,113,9,0,40.0,5.72,10.9,47.08,11.43,1.0,0.0,6.0,6/11.0,14
SP Narine,Test,6,1659,851.0,21,1241,0,9,276.5,3.08,40.52,74.8,79.0,2.0,1.0,8.0,8/223.0,6
T Rossi,T20I,21,352,413.0,21,186,32,2,58.7,7.04,19.67,52.84,16.76,0.0,0.0,3.0,3/13.0,25
Ebadat Hossain,ODI,10,486,443.0,21,272,19,2,81.0,5.47,21.1,55.97,23.14,0.0,2.0,4.0,4/40.0,11
MG Johnson,BBL,19,444,455.0,21,227,20,0,74.0,6.15,21.67,51.13,21.14,0.0,0.0,3.0,3/3.0,19
OD Hald,T20I,21,333,389.0,21,163,15,0,55.5,7.01,18.52,48.95,15.86,0.0,0.0,3.0,3/5.0,22
Usman Tariq,PSL,20,477,604.0,21,162,24,0,79.5,7.6,28.76,33.96,22.71,0.0,0.0,3.0,3/18.0,20
V Phiri,T20I,16,278,268.0,21,137,14,3,46.3,5.78,12.76,49.28,13.24,0.0,1.0,4.0,4/9.0,19
NR Johns-Wickberg,T20I,15,322,349.0,21,172,16,1,53.7,6.5,16.62,53.42,15.33,0.0,0.0,3.0,3/6.0,16
CO Obuya,ODI,23,841,683.0,21,440,19,10,140.2,4.87,32.52,52.32,40.05,1.0,0.0,5.0,5/23.0,36
NW Bracken,T20I,19,378,438.0,21,170,14,1,63.0,6.95,20.86,44.97,18.0,0.0,0.0,3.0,3/11.0,19
Aizaz Cheema,Test,7,1203,638.0,21,905,2,3,200.5,3.18,30.38,75.23,57.29,2.0,1.0,8.0,8/101.0,7
C Viljoen,T20I,12,225,236.0,21,95,10,2,37.5,6.29,11.24,42.22,10.71,1.0,1.0,5.0,5/8.0,12
Mohammad Hasnain,ODI,15,720,755.0,21,364,25,2,120.0,6.29,35.95,50.56,34.29,1.0,0.0,5.0,5/25.0,15
N Burger,IPL,18,364,585.0,21,160,19,1,60.7,9.64,27.86,43.96,17.33,0.0,0.0,2.0,2/20.0,18
MWR Stokes,T20I,28,455,509.0,21,195,6,0,75.8,6.71,24.24,42.86,21.67,0.0,0.0,2.0,2/11.0,37
JDS Neesham,CPL,18,294,495.0,21,108,16,2,49.0,10.1,23.57,36.73,14.0,0.0,1.0,4.0,4/33.0,20
Agha Salman,Test,24,1949,1223.0,21,1241,2,3,324.8,3.77,58.24,63.67,92.81,0.0,1.0,4.0,4/117.0,28
J Bishop,CPL,21,383,472.0,21,173,9,0,63.8,7.39,22.48,45.17,18.24,0.0,0.0,3.0,3/20.0,21
Saim Ayub,PSL,32,518,700.0,21,176,12,2,86.3,8.11,33.33,33.98,24.67,0.0,0.0,2.0,2/14.0,53
Mohammad Khan Rafah,T20I,11,204,236.0,21,88,4,0,34.0,6.94,11.24,43.14,9.71,0.0,0.0,3.0,3/12.0,11
Mohammad Asghar,PSL,20,364,465.0,21,144,3,0,60.7,7.66,22.14,39.56,17.33,0.0,1.0,4.0,4/16.0,20
JDP Oram,T20I,32,552,793.0,21,183,13,6,92.0,8.62,37.76,33.15,26.29,0.0,0.0,3.0,3/33.0,36
ST Gabriel,CPL,22,385,511.0,21,168,23,6,64.2,7.96,24.33,43.64,18.33,0.0,0.0,3.0,3/13.0,23
STR Binny,ODI,12,492,439.0,21,265,11,2,82.0,5.35,20.9,53.86,23.43,1.0,0.0,6.0,6/4.0,14
Murid Ekrami,T20I,19,391,463.0,21,176,14,2,65.2,7.1,22.05,45.01,18.62,0.0,0.0,3.0,3/19.0,19
Muhammad Farooq,T20I,18,348,402.0,21,162,10,0,58.0,6.93,19.14,46.55,16.57,0.0,1.0,4.0,4/34.0,18
Mohammad Nawaz (3),T20I,24,462,544.0,21,198,6,0,77.0,7.06,25.9,42.86,22.0,0.0,0.0,2.0,2/11.0,24
Mohammad Sami,T20I,13,280,387.0,21,125,13,4,46.7,8.29,18.43,44.64,13.33,0.0,0.0,3.0,3/10.0,13
Muhammad Jawadullah,ODI,16,687,677.0,21,383,35,1,114.5,5.91,32.24,55.75,32.71,0.0,0.0,3.0,3/33.0,16
Mujeeb Ur Rahman,IPL,20,446,620.0,21,156,19,0,74.3,8.34,29.52,34.98,21.24,0.0,0.0,3.0,3/26.0,20
DJ Hussey,T20I,25,363,392.0,21,127,7,2,60.5,6.48,18.67,34.99,17.29,0.0,0.0,3.0,3/22.0,39
A Merritt,T20I,19,380,409.0,21,178,27,2,63.3,6.46,19.48,46.84,18.1,0.0,1.0,4.0,4/22.0,21
S Mosweu,T20I,24,370,344.0,21,210,30,0,61.7,5.58,16.38,56.76,17.62,1.0,0.0,6.0,6/3.0,28
S Maduranga,T20I,20,340,406.0,21,147,16,1,56.7,7.16,19.33,43.24,16.19,0.0,0.0,3.0,3/17.0,20
C Overton,Test,8,1473,760.0,21,1103,9,1,245.5,3.1,36.19,74.88,70.14,1.0,1.0,6.0,6/61.0,7
Kabir Ali,ODI,12,629,631.0,21,341,11,16,104.8,6.02,30.05,54.21,29.95,0.0,2.0,4.0,4/42.0,13
KW Richardson,IPL,15,335,472.0,21,136,10,0,55.8,8.45,22.48,40.6,15.95,0.0,1.0,4.0,4/13.0,15
Soumya Sarkar,ODI,28,588,595.0,21,253,10,0,98.0,6.07,28.33,43.03,28.0,0.0,1.0,4.0,4/58.0,78
Khurram Chohan,ODI,11,517,438.0,20,302,9,5,86.2,5.08,21.9,58.41,25.85,1.0,1.0,5.0,5/66.0,11
A Natubhai Ahir,T20I,21,401,345.0,20,210,8,0,66.8,5.16,17.25,52.37,20.05,0.0,0.0,2.0,2/10.0,24
A Nao,ODI,19,842,713.0,20,485,29,0,140.3,5.08,35.65,57.6,42.1,0.0,1.0,4.0,4/24.0,19
S Wetoto,T20I,11,193,175.0,20,89,5,0,32.2,5.44,8.75,46.11,9.65,3.0,0.0,6.0,6/16.0,12
W Moutswi,T20I,19,353,245.0,20,221,46,5,58.8,4.16,12.25,62.61,17.65,0.0,0.0,3.0,3/11.0,30
W Madhevere,T20I,39,463,545.0,20,168,17,1,77.2,7.06,27.25,36.29,23.15,0.0,0.0,3.0,3/14.0,76
JA Richardson,T20I,18,396,556.0,20,159,19,0,66.0,8.42,27.8,40.15,19.8,0.0,0.0,3.0,3/20.0,18
WD Parnell,CPL,15,300,401.0,20,139,12,0,50.0,8.02,20.05,46.33,15.0,0.0,1.0,4.0,4/31.0,15
Adam Senn,T20I,12,260,266.0,20,131,10,2,43.3,6.14,13.3,50.38,13.0,0.0,3.0,4.0,4/15.0,13
Muhammad Rohid,T20I,14,277,380.0,20,115,11,1,46.2,8.23,19.0,41.52,13.85,0.0,1.0,4.0,4/31.0,14
J Suchith,IPL,21,420,602.0,20,142,14,0,70.0,8.6,30.1,33.81,21.0,0.0,0.0,2.0,2/10.0,22
Rahat Ali,ODI,14,681,658.0,20,364,24,2,113.5,5.8,32.9,53.45,34.05,0.0,0.0,3.0,3/39.0,14
AK Markram,ODI,39,1143,1120.0,20,510,28,1,190.5,5.88,56.0,44.62,57.15,0.0,0.0,2.0,2/18.0,80
SB Styris,T20I,21,309,349.0,20,111,4,0,51.5,6.78,17.45,35.92,15.45,0.0,0.0,3.0,3/5.0,31
CJ Anderson,T20I,27,432,585.0,20,158,13,0,72.0,8.12,29.25,36.57,21.6,0.0,0.0,3.0,3/17.0,42
L Wood,T20I,16,307,462.0,20,128,12,1,51.2,9.03,23.1,41.69,15.35,0.0,0.0,3.0,3/24.0,17
L Phiri,T20I,24,356,348.0,20,170,18,0,59.3,5.87,17.4,47.75,17.8,0.0,2.0,4.0,4/7.0,28
Arshad Khan,IPL,24,365,669.0,20,139,35,1,60.8,11.0,33.45,38.08,18.25,0.0,1.0,4.0,4/21.0,26
Mohammad Hafeez,PSL,35,445,510.0,20,167,2,0,74.2,6.88,25.5,37.53,22.25,0.0,0.0,3.0,3/25.0,77
Agha Salman,ODI,37,1093,1062.0,20,517,18,3,182.2,5.83,53.1,47.3,54.65,0.0,1.0,4.0,4/32.0,50
BA Carse,T20I,13,275,412.0,20,103,8,7,45.8,8.99,20.6,37.45,13.75,0.0,0.0,3.0,3/22.0,14
WG Jacks,T20I,21,306,429.0,20,109,8,0,51.0,8.41,21.45,35.62,15.3,0.0,0.0,3.0,3/13.0,45
CA Henry,WPL,15,338,473.0,20,148,13,2,56.3,8.4,23.65,43.79,16.9,0.0,0.0,3.0,3/29.0,15
Ahmed Daniyal,PSL,17,369,555.0,20,136,21,1,61.5,9.02,27.75,36.86,18.45,0.0,0.0,3.0,3/17.0,18
BB Sran,IPL,24,486,757.0,20,175,30,3,81.0,9.35,37.85,36.01,24.3,0.0,0.0,3.0,3/24.0,24
N Nojic,T20I,11,257,210.0,20,156,36,5,42.8,4.9,10.5,60.7,12.85,0.0,0.0,3.0,3/7.0,11
N Boje,ODI,20,920,690.0,20,487,13,0,153.3,4.5,34.5,52.93,46.0,0.0,0.0,2.0,2/21.0,21
Vishil Patel,T20I,19,310,370.0,20,144,8,1,51.7,7.16,18.5,46.45,15.5,0.0,1.0,4.0,4/26.0,19
ST Jayasuriya,T20I,23,347,423.0,20,115,6,0,57.8,7.31,21.15,33.14,17.35,0.0,0.0,3.0,3/20.0,30
RN ten Doeschate,ODI,14,685,636.0,20,379,26,4,114.2,5.57,31.8,55.33,34.25,0.0,0.0,3.0,3/24.0,14
RMMP Rathnayake,Test,7,1144,606.0,20,833,2,12,190.7,3.18,30.3,72.81,57.2,1.0,3.0,5.0,5/123.0,7
FO Kibasu,T20I,18,267,274.0,20,113,6,1,44.5,6.16,13.7,42.32,13.35,0.0,2.0,4.0,4/6.0,46
SC de Oliveira,T20I,9,176,173.0,20,93,9,0,29.3,5.9,8.65,52.84,8.8,0.0,2.0,4.0,4/22.0,9
K Ndlovu,ODI,12,561,330.0,20,376,19,3,93.5,3.53,16.5,67.02,28.05,1.0,0.0,5.0,5/20.0,21
NJ Carey,T20I,28,444,527.0,20,160,11,4,74.0,7.12,26.35,36.04,22.2,0.0,0.0,3.0,3/15.0,38
NA Saini,IPL,28,603,843.0,20,264,18,11,100.5,8.39,42.15,43.78,30.15,0.0,0.0,2.0,2/20.0,28
NA Greenwood,T20I,21,324,325.0,20,130,3,0,54.0,6.02,16.25,40.12,16.2,0.0,0.0,3.0,3/8.0,34
VR Aaron,Test,9,1211,947.0,20,813,12,22,201.8,4.69,47.35,67.13,60.55,0.0,1.0,4.0,4/95.0,9
T Panyangara,T20I,13,284,366.0,20,119,7,5,47.3,7.73,18.3,41.9,14.2,1.0,0.0,5.0,5/37.0,13
Azyan Farhath,T20I,14,225,220.0,20,108,4,2,37.5,5.87,11.0,48.0,11.25,0.0,2.0,4.0,4/5.0,32
Sultan Ahmed (2),T20I,19,378,360.0,20,198,10,0,63.0,5.71,18.0,52.38,18.9,0.0,1.0,4.0,4/9.0,19
C Sakariya,IPL,20,449,638.0,20,154,30,5,74.8,8.53,31.9,34.3,22.45,0.0,0.0,3.0,3/31.0,20
Lucky Ali,T20I,18,324,325.0,20,161,14,0,54.0,6.02,16.25,49.69,16.2,0.0,0.0,3.0,3/13.0,27
Anwar Ali,ODI,21,903,921.0,20,422,14,0,150.5,6.12,46.05,46.73,45.15,0.0,1.0,4.0,4/63.0,21
CH Gayle,T20I,30,381,440.0,20,117,13,0,63.5,6.93,22.0,30.71,19.05,0.0,0.0,2.0,2/15.0,76
Yasir Mohammad,T20I,12,256,306.0,20,104,3,1,42.7,7.17,15.3,40.62,12.8,0.0,2.0,4.0,4/11.0,13
LL Tsotsobe,T20I,23,469,541.0,20,221,13,1,78.2,6.92,27.05,47.12,23.45,0.0,0.0,3.0,3/16.0,23
Sheraz Sheikh,T20I,21,308,367.0,20,132,9,1,51.3,7.15,18.35,42.86,15.4,0.0,1.0,4.0,4/32.0,34
R Ravindra,ODI,23,950,917.0,20,412,8,1,158.3,5.79,45.85,43.37,47.5,0.0,1.0,4.0,4/60.0,37
BTJ Wheal,ODI,12,616,412.0,20,406,14,0,102.7,4.01,20.6,65.91,30.8,0.0,1.0,4.0,4/41.0,13
HER Tyler,T20I,16,305,456.0,20,112,19,2,50.8,8.97,22.8,36.72,15.25,0.0,2.0,4.0,4/18.0,35
B Phelenyane,T20I,18,387,433.0,20,202,61,13,64.5,6.71,21.65,52.2,19.35,0.0,1.0,4.0,4/10.0,21
Sangita Rai,T20I,15,249,197.0,20,119,4,0,41.5,4.75,9.85,47.79,12.45,1.0,1.0,5.0,5/6.0,15
Sameera Khan,T20I,27,386,380.0,20,195,36,2,64.3,5.91,19.0,50.52,19.3,0.0,0.0,3.0,3/5.0,40
A Stocks,T20I,14,281,227.0,20,130,16,3,46.8,4.85,11.35,46.26,14.05,2.0,0.0,5.0,5/14.0,15
Meghna Rajan,T20I,11,234,109.0,20,165,8,1,39.0,2.79,5.45,70.51,11.7,0.0,0.0,3.0,3/2.0,11
M Jele,T20I,20,298,413.0,20,144,48,4,49.7,8.32,20.65,48.32,14.9,0.0,0.0,3.0,3/23.0,24
A Brindle,ODI,15,547,400.0,20,307,18,1,91.2,4.39,20.0,56.12,27.35,0.0,0.0,3.0,3/17.0,18
M Daniels,ODI,23,1004,649.0,20,653,27,0,167.3,3.88,32.45,65.04,50.2,0.0,0.0,3.0,3/51.0,23
K Fubler,T20I,13,269,198.0,20,149,4,0,44.8,4.42,9.9,55.39,13.45,0.0,0.0,3.0,3/4.0,16
K Fraser,ODI,11,553,372.0,20,331,21,0,92.2,4.04,18.6,59.86,27.65,0.0,1.0,4.0,4/20.0,12
Shashikant Laxman,T20I,15,301,276.0,20,154,8,0,50.2,5.5,13.8,51.16,15.05,0.0,1.0,4.0,4/8.0,16
YS Blagg,T20I,10,176,147.0,20,125,45,4,29.3,5.01,7.35,71.02,8.8,0.0,3.0,4.0,4/2.0,10
CK Jasmat,T20I,26,491,533.0,20,236,24,1,81.8,6.51,26.65,48.07,24.55,0.0,0.0,2.0,2/17.0,29
M Muralitharan,BBL,16,366,348.0,20,128,7,0,61.0,5.7,17.4,34.97,18.3,0.0,0.0,3.0,3/17.0,16
DS Kulkarni,ODI,12,599,508.0,20,344,28,1,99.8,5.09,25.4,57.43,29.95,0.0,1.0,4.0,4/34.0,12
